",""Edad"",""Sexo"",""n"""
"159,""53"",""Masculino"",""1812"""
"160,""53"",""Sin Datos"",""27"""
"161,""54"",""Femenino"",""1605"""
"162,""54"",""Masculino"",""1761"""
"163,""54"",""Sin Datos"",""26"""
"164,""55"",""Femenino"",""1542"""
"165,""55"",""Masculino"",""1759"""
"166,""55"",""Sin Datos"",""29"""
"167,""56"",""Femenino"",""1579"""
"168,""56"",""Masculino"",""1564"""
"169,""56"",""Sin Datos"",""26"""
"170,""57"",""Femenino"",""1488"""
"171,""57"",""Masculino"",""1585"""
"172,""57"",""Sin Datos"",""36"""
"173,""58"",""Femenino"",""1469"""
"174,""58"",""Masculino"",""1475"""
"175,""58"",""Sin Datos"",""23"""
"176,""59"",""Femenino"",""1384"""
"177,""59"",""Masculino"",""1447"""
"178,""59"",""Sin Datos"",""16"""
"179,""6"",""Femenino"",""340"""
"180,""6"",""Masculino"",""366"""
"181,""6"",""Sin Datos"",""4"""
"182,""60"",""Femenino"",""1396"""
"183,""60"",""Masculino"",""1476"""
"184,""60"",""Sin Datos"",""22"""
"185,""61"",""Femenino"",""1141"""
"186,""61"",""Masculino"",""1263"""
"187,""61"",""Sin Datos"",""14"""
"188,""62"",""Femenino"",""1079"""
"189,""62"",""Masculino"",""1253"""
"190,""62"",""Sin Datos"",""16"""
"191,""63"",""Femenino"",""1086"""
"192,""63"",""Masculino"",""1203"""
"193,""63"",""Sin Datos"",""18"""
"194,""64"",""Femenino"",""1039"""
"195,""64"",""Masculino"",""1101"""
"196,""64"",""Sin Datos"",""20"""
"197,""65"",""Femenino"",""972"""
"198,""65"",""Masculino"",""1095"""
"199,""65"",""Sin Datos"",""18"""
"200,""66"",""Femenino"",""909"""
"201,""66"",""Masculino"",""978"""
"202,""66"",""Sin Datos"",""11"""
"203,""67"",""Femenino"",""865"""
"204,""67"",""Masculino"",""1035"""
"205,""67"",""Sin Datos"",""8"""
"206,""68"",""Femenino"",""782"""
"207,""68"",""Masculino"",""843"""
"208,""68"",""Sin Datos"",""12"""
"209,""69"",""Femenino"",""706"""
"210,""69"",""Masculino"",""830"""
"211,""69"",""Sin Datos"",""9"""
"212,""7"",""Femenino"",""368"""
"213,""7"",""Masculino"",""340"""
"214,""7"",""Sin Datos"",""1"""
"215,""70"",""Femenino"",""655"""
"216,""70"",""Masculino"",""810"""
"217,""70"",""Sin Datos"",""7"""
"218,""71"",""Femenino"",""583"""
"219,""71"",""Masculino"",""705"""
"220,""71"",""Sin Datos"",""5"""
"221,""72"",""Femenino"",""549"""
"222,""72"",""Masculino"",""678"""
"223,""72"",""Sin Datos"",""10"""
"224,""73"",""Femenino"",""471"""
"225,""73"",""Masculino"",""613"""
"226,""73"",""Sin Datos"",""10"""
"227,""74"",""Femenino"",""431"""
"228,""74"",""Masculino"",""549"""
"229,""74"",""Sin Datos"",""9"""
"230,""75"",""Femenino"",""416"""
"231,""75"",""Masculino"",""522"""
"232,""75"",""Sin Datos"",""11"""
"233,""76"",""Femenino"",""379"""
"234,""76"",""Masculino"",""422"""
"235,""76"",""Sin Datos"",""1"""
"236,""77"",""Femenino"",""321"""
"237,""77"",""Masculino"",""378"""
"238,""77"",""Sin Datos"",""5"""
"239,""78"",""Femenino"",""301"""
"240,""78"",""Masculino"",""321"""
"241,""78"",""Sin Datos"",""3"""
"242,""79"",""Femenino"",""254"""
"243,""79"",""Masculino"",""275"""
"244,""79"",""Sin Datos"",""4"""
"245,""8"",""Femenino"",""363"""
"246,""8"",""Masculino"",""420"""
"247,""8"",""Sin Datos"",""2"""
"248,""80"",""Femenino"",""262"""
"249,""80"",""Masculino"",""297"""
"250,""80"",""Sin Datos"",""6"""
"251,""81"",""Femenino"",""231"""
"252,""81"",""Masculino"",""286"""
"253,""81"",""Sin Datos"",""7"""
"254,""82"",""Femenino"",""225"""
"255,""82"",""Masculino"",""264"""
"256,""82"",""Sin Datos"",""2"""
"257,""83"",""Femenino"",""190"""
"258,""83"",""Masculino"",""227"""
"259,""83"",""Sin Datos"",""3"""
"260,""84"",""Femenino"",""177"""
"261,""84"",""Masculino"",""196"""
"262,""84"",""Sin Datos"",""6"""
"263,""85"",""Femenino"",""163"""
"264,""85"",""Masculino"",""163"""
"265,""85"",""Sin Datos"",""1"""
"266,""86"",""Femenino"",""140"""
"267,""86"",""Masculino"",""158"""
"268,""86"",""Sin Datos"",""2"""
"269,""87"",""Femenino"",""133"""
"270,""87"",""Masculino"",""113"""
"271,""87"",""Sin Datos"",""1"""
"272,""88"",""Femenino"",""104"""
"273,""88"",""Masculino"",""102"""
"274,""88"",""Sin Datos"",""2"""
"275,""89"",""Femenino"",""88"""
"276,""89"",""Masculino"",""112"""
"277,""89"",""Sin Datos"",""3"""
"278,""9"",""Femenino"",""434"""
"279,""9"",""Masculino"",""417"""
"280,""9"",""Sin Datos"",""3"""
"281,""90"",""Femenino"",""67"""
"282,""90"",""Masculino"",""74"""
"283,""90"",""Sin Datos"",""2"""
"284,""91"",""Femenino"",""45"""
"285,""91"",""Masculino"",""47"""
"286,""91"",""Sin Datos"",""1"""
"287,""92"",""Femenino"",""48"""
"288,""92"",""Masculino"",""51"""
"289,""93"",""Femenino"",""40"""
"290,""93"",""Masculino"",""51"""
"291,""93"",""Sin Datos"",""1"""
"292,""94"",""Femenino"",""28"""
"293,""94"",""Masculino"",""29"""
"294,""95"",""Femenino"",""24"""
"295,""95"",""Masculino"",""20"""
"296,""96"",""Femenino"",""15"""
"297,""96"",""Masculino"",""20"""
"298,""97"",""Femenino"",""8"""
"299,""97"",""Masculino"",""11"""
"300,""98"",""Femenino"",""6"""
"301,""98"",""Masculino"",""6"""
"302,""99"",""Femenino"",""10"""
"303,""99"",""Masculino"",""10"""
"304,""SIN DATOS"",""Femenino"",""15"""
"305,""SIN DATOS"",""Masculino"",""40"""
"306,""Total"",""-"",""291977"""
